what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351067226119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067249080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067255562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351067256680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067259654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067310602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067316638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067317220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067317602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067318010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067318432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351067319744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351067321000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067323035
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1351067628027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067628095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351067635904
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351067636282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067680832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067720471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351067730912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351067734011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351067739889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351067741251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067747872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067756827
error,log,,,"(Build 3.1.3.1337406272) [ERROR]  /Users/dlove/rails_projects/treebook/.metadata/.plugins/com.aptana.index.core/114577082.index (No such file or directory)",1351067778043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351067814496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067816933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067820127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067854126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067862023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351067907762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351067909164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068031237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351068037441
opened,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351068041022
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351068041050
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351068091855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068093495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068194770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351068214851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068216078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068570778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351068580308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1351068582744
opened,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351068611517
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351068611536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068614005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068618749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068647155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068662715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351068710281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068712107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068721867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351068724851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069572151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069581927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069684872
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351069686793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069687658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069696294
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351069696810
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351069699615
opened,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351069710837
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351069710862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351069723439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069725999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069727980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069755179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069863067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351069871911
opened,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351069877342
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351069877364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351069888326
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351069891938
opened,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351069892221
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351069892246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351069915957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351141993388
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351142184141
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351142184329
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351142218669
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351142218940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351142250004
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351142258223
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351142258474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351142340778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351142343550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351142347316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351142606249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351142608795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143351511
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143359445
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351143362101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143378897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143402685
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143402709
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351143405102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351143416800
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143434387
activated,editor,com.aptana.editor.ruby,3.0.3.1337406325,"com.aptana.editor.ruby",1351143434832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143482224
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351143482605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143492478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143516977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351143535509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143537113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143772231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143787628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143807790
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143809212
opened,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351143809569
activated,editor,com.aptana.editor.erb,3.0.3.1337406325,"com.aptana.editor.erb.html",1351143809593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143812243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143814709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351143838148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143851701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143913045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143933708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351143942866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351143944726
